ItemCount,Weight,Volume,Distance,PickerExperience,StockDensity,PickingTime
10,5.0,1.2,40,5,0.8,3.5
8,4.0,1.1,60,4,0.6,4.1
20,8.0,2.5,100,3,0.9,6.8
5,2.5,0.7,30,6,0.5,2.2
15,7.5,2.0,80,2,0.95,7.4
30,12.0,3.5,150,1,0.98,10.5
12,6.0,1.8,90,3,0.85,5.2
25,10.0,3.0,120,4,0.92,8.1
7,3.5,1.0,50,5,0.7,3.8
18,9.0,2.2,110,2,0.88,7.9
35,15.0,4.0,180,1,0.99,12.3
6,3.0,0.8,35,6,0.6,2.8
22,11.0,2.8,130,3,0.91,8.5
14,7.0,1.9,75,4,0.82,6.2
40,18.0,4.5,200,1,0.99,14.1
9,4.5,1.3,55,5,0.75,4.3
16,8.0,2.1,85,3,0.87,6.9
28,14.0,3.2,140,2,0.94,9.8
11,5.5,1.5,65,4,0.78,4.7
32,16.0,3.8,160,1,0.97,11.2
13,6.5,1.7,95,3,0.86,5.8
24,11.5,2.9,125,4,0.93,8.7
17,8.5,2.3,105,2,0.89,7.6
26,13.0,3.1,135,3,0.95,9.2
19,9.5,2.4,115,2,0.90,8.0
21,10.5,2.6,125,3,0.91,8.3
23,11.5,2.7,130,3,0.92,8.6
27,13.5,3.3,145,2,0.96,9.5
29,14.5,3.4,155,2,0.97,10.8
31,15.5,3.6,165,1,0.98,11.5
33,16.5,3.9,175,1,0.98,12.8
34,17.0,4.1,185,1,0.99,13.4
36,18.5,4.6,195,1,0.99,14.7
37,19.0,4.7,205,1,0.99,15.2
38,19.5,4.8,215,1,0.99,15.8
39,20.0,4.9,225,1,0.99,16.3
41,21.0,5.0,235,1,0.99,17.1
42,22.0,5.1,245,1,0.99,17.8
43,23.0,5.2,255,1,0.99,18.5
44,24.0,5.3,265,1,0.99,19.2
45,25.0,5.4,275,1,0.99,19.9
46,26.0,5.5,285,1,0.99,20.6
47,27.0,5.6,295,1,0.99,21.3
48,28.0,5.7,305,1,0.99,22.0
49,29.0,5.8,315,1,0.99,22.7
50,30.0,5.9,325,1,0.99,23.4
